trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.003, 'e': 0.6790910949266368}",25,0,-11.45793111933369,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.003, 'e': 0.6770568744981647}",25,0,-90.24724510903161,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
132,False,"{'a': 0.003, 'e': 0.6750287475861332}",20,0,-109.63843327976083,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
133,False,"{'a': 0.003, 'e': 0.6730066959373864}",20,0,-92.82211603941121,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
134,False,"{'a': 0.003, 'e': 0.6709907013534459}",30,6,-78.62251692596459,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
135,False,"{'a': 0.003, 'e': 0.6689807456903467}",30,0,-66.46800147431813,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
136,False,"{'a': 0.003, 'e': 0.6669768108584744}",20,0,-104.94680996710787,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
137,False,"{'a': 0.003, 'e': 0.6649788788224019}",25,0,-125.10717342261013,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
138,False,"{'a': 0.003, 'e': 0.6629869316007274}",25,16,-20.115259263549,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.003, 'e': 0.6610009512659124}",20,12,-5.287376890132361,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.003, 'e': 0.6590209199441207}",20,0,-168.42362350596852,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
141,False,"{'a': 0.003, 'e': 0.6570468198150567}",20,3,3.8133840799272773,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.003, 'e': 0.6550786331118063}",20,16,7.102545107587538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.003, 'e': 0.6531163421206756}",30,0,-130.38889529312937,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
144,False,"{'a': 0.003, 'e': 0.6511599291810325}",20,0,-196.3560327470762,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
145,False,"{'a': 0.003, 'e': 0.6492093766851474}",20,0,-135.34275967162284,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
146,False,"{'a': 0.003, 'e': 0.6472646670780347}",25,19,2.8538613922472926,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.003, 'e': 0.6453257828572946}",25,0,-100.035733289863,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.003, 'e': 0.6433927065729562}",30,9,-13.258860419700602,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
149,False,"{'a': 0.003, 'e': 0.6414654208273198}",25,0,-122.89786371980723,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
150,False,"{'a': 0.003, 'e': 0.6395439082748009}",30,16,-68.91820716025573,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
151,False,"{'a': 0.003, 'e': 0.6376281516217733}",30,13,-10.938840407203589,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.003, 'e': 0.6357181336264143}",25,0,-66.24608598789047,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
153,False,"{'a': 0.003, 'e': 0.633813837098549}",30,0,-99.24175008995826,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
154,False,"{'a': 0.003, 'e': 0.6319152448994959}",20,0,-120.50180260081402,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
155,False,"{'a': 0.003, 'e': 0.6300223399419123}",30,0,-26.097633763698113,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
156,False,"{'a': 0.003, 'e': 0.6281351051896408}",25,0,-109.34852112433525,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
157,False,"{'a': 0.003, 'e': 0.6262535236575559}",25,0,-54.46851175966018,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
158,False,"{'a': 0.003, 'e': 0.6243775784114112}",20,0,-88.07280426806409,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
159,False,"{'a': 0.003, 'e': 0.6225072525676867}",25,4,-15.629239374543921,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
160,False,"{'a': 0.003, 'e': 0.6206425292934373}",25,0,-79.91234872072228,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
161,False,"{'a': 0.003, 'e': 0.6187833918061408}",20,0,-37.88948483709442,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
162,False,"{'a': 0.003, 'e': 0.6169298233735474}",20,0,-39.68852736339829,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
163,False,"{'a': 0.003, 'e': 0.6150818073135287}",20,0,-13.389748015870541,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
164,False,"{'a': 0.003, 'e': 0.6132393269939275}",20,0,-10.777070523420551,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
165,False,"{'a': 0.003, 'e': 0.6114023658324087}",20,0,-71.4549074054801,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
166,False,"{'a': 0.003, 'e': 0.6095709072963093}",20,10,5.410382264240385,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.003, 'e': 0.6077449349024902}",25,6,-5.037956845512603,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
168,False,"{'a': 0.003, 'e': 0.6059244322171875}",25,0,-97.4061183446338,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.003, 'e': 0.6041093828558647}",20,0,-35.94716323994006,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
170,False,"{'a': 0.003, 'e': 0.6022997704830654}",20,0,-9.903574423408624,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
171,False,"{'a': 0.003, 'e': 0.6004955788122659}",20,0,-58.12888707427743,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
172,False,"{'a': 0.003, 'e': 0.5986967916057292}",20,0,-97.13574551973014,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
173,False,"{'a': 0.003, 'e': 0.596903392674358}",20,0,-3.4020480296923665,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.003, 'e': 0.5951153658775501}",20,12,4.77745387859267,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.003, 'e': 0.593332695123052}",25,19,11.778140576809118,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.003, 'e': 0.5915553643668151}",25,9,-40.11994334302247,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.003, 'e': 0.5897833576128504}",20,6,-23.99980800201586,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
178,False,"{'a': 0.003, 'e': 0.5880166589130854}",25,0,-22.510151357312747,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
179,False,"{'a': 0.003, 'e': 0.5862552523672196}",20,0,0.1268247042058327,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.003, 'e': 0.5844991221225824}",35,10,-86.55049909328423,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",1
181,False,"{'a': 0.003, 'e': 0.5827482523739896}",30,6,-29.81934474994583,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
182,False,"{'a': 0.003, 'e': 0.5810026273636019}",25,11,11.41703300782493,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
